
ui_music_volume|Musique :
ui_sound_volume|Effets Sonores :
ui_mouse_sensitivity|Sensibilité Souris :
ui_invert_mouse_y_axis|Inverser Axe Vertical
ui_enabled|Activé
ui_disabled|Désactivé
ui_damage_to_player|Dégâts au Joueur :
ui_reduced_to_1_over_4_easiest|Réduit à 1/4 (Très facile)
ui_reduced_to_1_over_2_easy|Réduit à 1/2 (Facile)
ui_damage_to_friends|Dégâts aux Alliés :
ui_reduced_to_1_over_2_easiest|Réduit à 1/2 (Très facile)
ui_reduced_to_3_over_4_easy|Réduit à 3/4 (Facile)
ui_normal|Normale
ui_combat_ai|IA au Combat :
ui_combat_speed|Vitesse des Combat :
ui_good|Bonne
ui_average_caps|Moyenne
ui_poor|Faible
ui_faster|Plus Rapide
ui_slower|Plus Lent
ui_control_block_direction|Contrôle de la Direction de Parade :
ui_automatic_recommended|Automatique
ui_manual_easy|Manuel (Facile)
ui_manual_hard|Manuel (Difficile)
ui_by_mouse_movement|Par mouvement de la souris
ui_control_attack_direction|Contrôler de la Direction des Attaques :
ui_lance_control|Contrôle Lance :
ui_by_relative_enemy_position|En fonction de la position de l'ennemi
ui_by_inverse_mouse_movement|Par mouvement de souris inversé
ui_battle_size|Taille de Bataille (impacte les performances) :
ui_show_attack_direction|Afficher Direction de l'Attaque
ui_show_targeting_reticule|Afficher Réticule
ui_show_names_of_friendly_troops|Afficher Bannières sur Troupes Alliées
ui_report_damage|Renvoyer Dégâts
ui_report_shot_difficulty|Difficulté du Renvoi de Coup
ui_difficulty_rating_percentage|Niveau de Difficulté = %d%%
ui_controls|Contrôles
ui_video_options|Options Vidéo
ui_done|Confirmer
ui_factions|Factions
ui_item_itemname|Objet - %s
ui_prop_propname|Prop - %s
ui_unknown_unknownname|Inconnu - %s
ui_entry_point_entrypointname|Point d'Entrée %d
ui_passage_menu_item_passagename|Passage (menu objet %d)
ui_plant_plantname|Plante - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|Fichier d'exportation pour le personnage %s existe déjà. L'écraser?
ui_yes|Oui
ui_no|Non
ui_set_save_file_name|Entrez un nom pour cette sauvegarde :
ui_enter_new_name|Entrez un nouveau nom :
ui_export_character|Exporter Personnage
ui_import_character|Importer Personnage
ui_character_playername_exported_successfully|Personnage %s exporté avec succès.
ui_character_playername_imported_successfully|Personnage %s importé avec succès.
ui_unable_to_open_import_file|Impossible d'ouvrir le fichier d'importation.
ui_are_you_sure_you_want_to_import_the_character|Êtes-vous sûr de vouloir importer ce personnage ?
ui_unable_to_find_character_import_file|Impossible de trouver le fichier d'importation du personnage.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount&Blade est actuellement en période d'essai. Veuillez acheter le jeu pour importer un personnage.
ui_change_skin|Peau
ui_change_hair|Cheveux
ui_change_hair_color|Couleur des Cheveux
ui_change_beard|Barbe
ui_tutorial|Didacticiel
ui_tutorial_face_generator|Choisissez le visage de votre personnage en utilisant les boutons et les curseurs. Pour faire pivoter la tête, cliquez dessus et faites glisser la souris.
ui_restore|Charger
ui_cancel|Annuler
ui_delete|Supprimer
ui_confirm_delete_game|Êtes-vous sûr de vouloir supprimer cette sauvegarde ?
ui_error_removing_file|Erreur lors de la suppression du fichier...
ui_day_datedisplay|Jour %d (%d:%d%d)
ui_reset_changes|Réinitialiser
ui_weapon_proficiencies|Maîtrises
ui_skills|Compétences
ui_attributes|Attributs
ui_enter_name_here|*Saisissez votre Nom*
ui_edit_face|Cliquez pour modifier le visage
ui_statistics|Statistiques
ui_next|Suivant
ui_prev|Précédent
ui_learn|Apprendre
ui_question_saving_policy|Quelle sera la règle de sauvegarde du jeu ?
ui_saving_policy_realistic|Réaliste ! Impossible de quitter sans sauvegarder !
ui_saving_policy_nonrealistic|Je veux pouvoir quitter sans sauvegarder.
ui_tutorial_character_generation|Entrez maintenant votre nom et distribuez vos points d'attribut, de compétence et de maîtrise. Vous pouvez cliquer sur les différents éléments à l'écran pour apprendre de quelle manière ils influeront sur votre personnage.
ui_str|FOR
ui_agi|AGI
ui_int|INT
ui_cha|CHA
ui_at_learning_limit|(Limite d'apprentissage atteinte)
ui_not_enough_skill_points_to_learn|(Pas assez de points de compétences pour apprendre)
ui_strength|force
ui_agility|agilité
ui_intelligence|intelligence
ui_charisma|charisme
ui_not_enough_attributetype_to_learn_this_skill|(%s trop faible pour apprendre cette compétence)
ui_explanation_one_handed_weapon|S'applique à l'utilisation des épées à une main, haches et armes contondantes.
ui_explanation_two_handed_weapon|S'applique à l'utilisation des épées à deux mains, grandes haches et masses.
ui_explanation_polearm|S'applique à l'utilisation des armes d'hast telles que les lances, bâtons, etc.
ui_explanation_archery|S'applique à l'utilisation des arcs.
ui_explanation_crossbow|S'applique à l'utilisation des arbalètes.
ui_explanation_throwing|S'applique à l'utilisation des armes de jet telles que les javelots, couteaux, pierres, etc.
ui_explanation_firearms|S'applique à l'utilisation des frondes.
ui_explanation_strength|Force : Chaque point augmente le total de points de vie de 1. Les compétences suivantes ne peuvent dépasser 1/2 de la Force : Santé de Fer, Puissance de Frappe, Puissance de Jet, Puissance de Tension, et Organisation de l'Inventaire. Tous les 5 niveaux, vous gagnez un point d'attribut supplémentaire.
ui_explanation_agility|Agilité : Chaque point donne cinq points de maîtrise et augmente légèrement la vitesse de déplacement. Les compétences suivantes ne peuvent dépasser 1/2 de l'Agilité: Maître d'Armes, Repérage, Bouclier, Athlétisme, Équitation, Connaissance du Terrain, et Pillage. Tous les 5 niveaux, vous gagnez un point d'attribut supplémentaire.
ui_explanation_intelligence|Intelligence : Chaque point d'intelligence donne immédiatement un point de compétence supplémentaire. Les compétences suivantes ne peuvent dépasser 1/2 de l'Intelligence : Mentor, Pistage, Tactiques, Soin des Blessures, Chirurgie, Premiers Secours, Ingénierie, Navigation, et Entretien des Armes. Tous les 5 niveaux, vous gagnez un point d'attribut supplémentaire.
ui_explanation_charisma|Charisme : Affecte les dialogue, la séduction et comment les autres vous perçoivent. Chaque point augmente la taille maximale de votre armée de 1. Les compétences suivantes ne peuvent dépasser 1/2 du Charisme : Roi des Mers, Commandement, Persuasion, Marchandage. Tous les 5 niveaux, vous gagnez un point d'attribut supplémentaire.
ui_level|Niveau : %d
ui_xp|Expérience : %d
ui_next_level_at|Niveau suivant à : %d
ui_health_player|Points de vie : %d / %d
ui_health|Points de vie : %d
ui_attribute_points|Points d'Attribut : %d
ui_skill_points|Points de Compétence : %d
ui_weapon_points|Points de Maîtrise : %d
ui_mission_losses_none| aucun.
ui_mission_losses_wounded|blessés :
ui_mission_losses_killed|tués :
ui_party_losses|%s  : %d blessés --- %d tués sur %d.
ui_casualties_sustained|Pertes subies :
ui_advantage_change|Changement d'avantage = %c%d
ui_overall_battle_casualties|Pertes totales de la bataille :
ui_advantage_outnumbered| Votre infériorité numérique semble sans espoir.
ui_advantage_major_disadvantage| Vous êtes plutôt désavantagé.
ui_advantage_slight_disadvantage| Vous êtes légèrement désavantagé.
ui_advantage_balanced| La situation est équilibrée.
ui_advantage_fair_advantage| Vous avez de bonnes chances de victoire.
ui_advantage_greatly_favored| Vos chances de victoires sont très grandes.
ui_tactical_advantage|Avantage tactique : %d (%s)
ui_order_group|Ordonner au groupe:
ui_question_save_changes|Vous avez effectué des modifications sur ces objets. Souhaitez-vous les enregistrer ?
ui_yes_save|Oui, je veux enregistrer
ui_no_discard_changes|Non, annuler ces modifications
ui_everyone_control|Tout le monde !
ui_everyone_around_control|Soldats à proximité !
ui_others_control|Les autres !
ui_question_give_up_fight|Abandonner la bataille ?
ui_give_up|Abandonner
ui_keep_fighting|Continuer à combattre
ui_question_leave_area|Quitter la zone
ui_cant_retreat_there_are_enemies_nearby|La retraite est impossible. Il y a des ennemis à proximité !
ui_question_retreat_battle|Fuir le combat ?
ui_retreated_battle|%s a été mis en déroute.
ui_retreated_battle|%s a fui la bataille.
ui_retreat|Retraite
ui_talk|Parler
ui_duel|Duel
ui_mount|Monter
ui_riding_skill_not_adequate_to_mount|(compétences Équitation insuffisante pour monter)
ui_dismount|Descendre
ui_exit|Sortir
ui_door_to|Entrer
ui_open|Ouvrir
ui_equip|Équiper
ui_baggage|Bagages
ui_access_inventory|Inventaire
ui_chest|Coffre
ui_passage|Passage
ui_go|Aller
ui_retreat_battle|Fuir le combat
ui_leave_area|Quitter la zone
ui_reports|Cantonnement
ui_camp|Camper
ui_terrain|Terrain
ui_quests|Notes
ui_inventory|Inventaire
ui_character|Rapport
ui_party|Armée
ui_paused|En Pause
ui_click_left_button_to_cancel_wait|En attente... (clic gauche pour revenir)
ui_midnight|Minuit
ui_late_night|Tard dans la nuit
ui_dawn|Aube
ui_early_morning|Tôt le matin
ui_morning|Matin
ui_noon|Midi
ui_afternoon|Après-midi
ui_late_afternoon|Fin d'après midi
ui_dusk|Crépuscule
ui_evening|Soirée
ui_midnight|Minuit
ui_level_limit_reached|Limite de Niveau Atteinte !
ui_explanation_level_limit|Hail Aventurier, Mount&Blade n'a pas encore été activé et s'exécute en mode d'essai. Dans ce mode, le jeu est limité au Niveau 8. Pour pouvoir continuer à jouer, veuillez relancer le jeu et l'activer avec votre clé de 16 caractères inclue dans la boîte. Après activation, vous pourrez continuer à partir d'ici. Mount&Blade va maintenant enregistrer votre partie et quitter.
ui_time_limit_reached|Période d'Essai Écoulée !
ui_explanation_time_limit|Hail Aventurier, Mount&Blade n'a pas encore été activé et s'exécute en mode d'essai. Dans ce mode, le jeu est limité à 30 jours dans le jeu. Pour pouvoir continuer à jouer, veuillez relancer le jeu et l'activer avec votre clé de 16 caractères inclue dans la boîte. Après activation, vous pourrez continuer à partir d'ici. Mount&Blade va maintenant enregistrer votre partie et quitter.
ui_target_lost|Cible perdue
ui_waiting|Attendent
ui_travelling_to|En route vers 
ui_following|Suivent 
ui_accompanying|Accompagnent 
ui_running_from|Fuient 
ui_patrolling|Patrouillent
ui_patrolling_around|Patrouillent près de 
ui_holding|En position
ui_travelling|Voyagent
ui_fighting_against|Combattent 
ui_speed_equals|Vitesse = %2.1f
ui_defenders|Garnison :
ui_prisoners|Prisonniers :
ui_1_hour|1 heure
ui_n_hours|%d heures
ui_between_hours|%d à %d heures
ui_combatants|Combattants : %d
ui_party_size|Taille du groupe : %d
ui_party_size_between|Taille du groupe : %d à %d
ui_merchant|Marchand
